Idade,Atrito,Viagens de negócios,Taxa Diária,Departamento,Distância de casa,Educação,Campo de Educação,Contagem de funcionários,Número do funcionário,Satisfação Ambiental,Gênero,Taxa horária,Envolvimento no Trabalho,Nível do trabalho,Função do Trabalho,Satisfação no Trabalho,Estado civil,Renda Mensal,Taxa Mensal,NumCompaniesWorked,Maiores de 18 anos,Ao longo do tempo,PorcentagemSalárioCaminhada,Classificação de desempenho,RelacionamentoSatisfação,Horas Padrão,Nível de opção de estoque,Total de anos de trabalho,Tempos de treinamentoÚltimo ano,WorkLifeBalance,AnosNaEmpresa,Anos na função atual,AnosDesdeÚltimaPromoção,AnosComCurrManager
41,Sim,Viajar_Raramente,1102,Vendas,1,2,Ciências da Vida,1,1,2,Fêmea,94,3,2,Executivo de vendas,4,Solteiro,5993,19479,8,S,Sim,11,3,1,80,0,8,0,1,6,4,0,5
49,Não,Viajar_Frequentemente,279,Pesquisa e Desenvolvimento,8,1,Ciências da Vida,1,2,3,Macho,61,2,2,Cientista Pesquisador,2,Casado,5130,24907,1,S,Não,23,4,4,80,1,10,3,3,10,7,1,7
37,Sim,Viajar_Raramente,1373,Pesquisa e Desenvolvimento,2,2,Outro,1,4,4,Macho,92,2,1,Técnico de Laboratório,3,Solteiro,2090,2396,6,S,Sim,15,3,2,80,0,7,3,3,0,0,0,0
33,Não,Viajar_Frequentemente,1392,Pesquisa e Desenvolvimento,3,4,Ciências da Vida,1,5,4,Fêmea,56,3,1,Cientista Pesquisador,3,Casado,2909,23159,1,S,Sim,11,3,3,80,0,8,3,3,8,7,3,0
27,Não,Viajar_Raramente,591,Pesquisa e Desenvolvimento,2,1,Médico,1,7,1,Macho,40,3,1,Técnico de Laboratório,2,Casado,3468,16632,9,S,Não,12,3,4,80,1,6,3,3,2,2,2,2
32,Não,Viajar_Frequentemente,1005,Pesquisa e Desenvolvimento,2,2,Ciências da Vida,1,8,4,Macho,79,3,1,Técnico de Laboratório,4,Solteiro,3068,11864,0,S,Não,13,3,3,80,0,8,2,2,7,7,3,6
59,Não,Viajar_Raramente,1324,Pesquisa e Desenvolvimento,3,3,Médico,1,10,3,Fêmea,81,4,1,Técnico de Laboratório,1,Casado,2670,9964,4,S,Sim,20,4,1,80,3,12,3,2,1,0,0,0
30,Não,Viajar_Raramente,1358,Pesquisa e Desenvolvimento,24,1,Ciências da Vida,1,11,4,Macho,67,3,1,Técnico de Laboratório,3,Divorciado,2693,13335,1,S,Não,22,4,2,80,1,1,2,3,1,0,0,0
38,Não,Viajar_Frequentemente,216,Pesquisa e Desenvolvimento,23,3,Ciências da Vida,1,12,4,Macho,44,2,3,Diretor de Manufatura,3,Solteiro,9526,8787,0,S,Não,21,4,2,80,0,10,2,3,9,7,1,8
36,Não,Viajar_Raramente,1299,Pesquisa e Desenvolvimento,27,3,Médico,1,13,3,Macho,94,3,2,Representante de saúde,3,Casado,5237,16577,6,S,Não,13,3,2,80,2,17,3,2,7,7,7,7
35,Não,Viajar_Raramente,809,Pesquisa e Desenvolvimento,16,3,Médico,1,14,1,Macho,84,4,1,Técnico de Laboratório,2,Casado,2426,16479,0,S,Não,13,3,3,80,1,6,5,3,5,4,0,3
29,Não,Viajar_Raramente,153,Pesquisa e Desenvolvimento,15,2,Ciências da Vida,1,15,4,Fêmea,49,2,2,Técnico de Laboratório,3,Solteiro,4193,12682,0,S,Sim,12,3,4,80,0,10,3,3,9,5,0,8
31,Não,Viajar_Raramente,670,Pesquisa e Desenvolvimento,26,1,Ciências da Vida,1,16,1,Macho,31,3,1,Cientista Pesquisador,3,Divorciado,2911,15170,1,S,Não,17,3,4,80,1,5,1,2,5,2,4,3
34,Não,Viajar_Raramente,1346,Pesquisa e Desenvolvimento,19,2,Médico,1,18,2,Macho,93,3,1,Técnico de Laboratório,4,Divorciado,2661,8758,0,S,Não,11,3,3,80,1,3,2,3,2,2,1,2
28,Sim,Viajar_Raramente,103,Pesquisa e Desenvolvimento,24,3,Ciências da Vida,1,19,3,Macho,50,2,1,Técnico de Laboratório,3,Solteiro,2028,12947,5,S,Sim,14,3,2,80,0,6,4,3,4,2,0,3
29,Não,Viajar_Raramente,1389,Pesquisa e Desenvolvimento,21,4,Ciências da Vida,1,20,2,Fêmea,51,4,3,Diretor de Manufatura,1,Divorciado,9980,10195,1,S,Não,11,3,3,80,1,10,1,3,10,9,8,8
32,Não,Viajar_Raramente,334,Pesquisa e Desenvolvimento,5,2,Ciências da Vida,1,21,1,Macho,80,4,1,Cientista Pesquisador,2,Divorciado,3298,15053,0,S,Sim,12,3,4,80,2,7,5,2,6,2,0,5
22,Não,Não viagem,1123,Pesquisa e Desenvolvimento,16,2,Médico,1,22,4,Macho,96,4,1,Técnico de Laboratório,4,Divorciado,2935,7324,1,S,Sim,13,3,2,80,2,1,2,2,1,0,0,0
53,Não,Viajar_Raramente,1219,Vendas,2,4,Ciências da Vida,1,23,1,Fêmea,78,2,4,Gerente,4,Casado,15427,22021,2,S,Não,16,3,3,80,0,31,3,3,25,8,3,7
